BudovaJednotlivaNeboBlokBudov
KulnaSklenikFoliovnikPristresek
VezovitaStavba
VodniPlocha
Raseliniste
BazinaMocal
LiniovaVegetace
SilniceDalnice
SilniceNeevidovana
Ulice
Cesta
Pesina
OsaLetistniDrahy
Letiste
Kolejiste
ZeleznicniTrat
Hrad
Zamek
PrecerpavaciStaniceProduktovodu
RozvodnaTransformovna
Skladka
ParkovisteOdpocivka
Hrbitov
Tribuna
NadzemniZasobniNadrz
ChladiciVez
RozvalinaZricenina
Heliport
ZeleznicniTocnaPresuvna
ArealZeleznicniStaniceZastavky
Elektrarna
LPIS_layer
ArealUceloveZastavby
SkalniUtvary
SesuvPudySut
OkrasnaZahradaPark
Vinice
OvocnySadZahrada
Chmelnice
StavebniObjektZakryty
UlozneMisto
PovrchovaTezbaLom
TrvalyTravniPorost
OrnaPudaAOstatniDaleNespecifikovanePlochy
OstatniPlochaVSidlech
LesniPudaSKrovinatymPorostem
LesniPudaSeStromyKategorizovana
LesniPudaSKosodrevinou
ZeleznicniVlecka
